date,global,china,outside_china,global_deaths,china_deaths,outside_china_deaths
2020-01-21,282,278,3,0,0,0
2020-01-22,314,309,4,0,0,0
2020-01-23,581,571,10,0,0,0
2020-01-24,846,830,11,0,0,0
2020-01-25,1320,1297,23,0,0,0
2020-01-26,2014,1985,29,0,0,0
2020-01-27,2798,2741,37,0,80,0
2020-01-28,0,0,0,0,106,0
2020-01-29,6065,5997,68,0,132,0
2020-01-30,7736,29,82,0,170,0
2020-01-31,0,0,0,0,213,0
2020-02-01,11953,11821,132,0,259,0
2020-02-02,14557,14411,146,0,304,0
2020-02-03,0,0,0,0,361,0
2020-02-04,20630,20471,159,0,425,0
2020-02-05,24554,24363,191,0,491,0
2020-02-06,28276,28060,216,0,564,0
2020-02-07,31481,31211,270,0,637,0
2020-02-08,0,0,0,0,723,0
2020-02-09,37558,37251,307,0,812,0
2020-02-10,40554,40235,319,0,909,0
2020-02-11,43103,42708,395,0,1017,0
2020-02-12,45171,44730,441,0,1114,0
2020-02-13,46997,46550,447,0,1368,0
2020-02-14,0,0,0,0,1381,0
2020-02-15,0,0,0,0,1524,2
2020-02-16,0,0,0,0,1666,0
2020-02-17,0,0,0,0,1772,3
2020-02-18,73332,72528,804,0,1870,3
2020-02-19,0,0,0,0,2006,3
2020-02-20,75748,74675,1073,0,2121,8
2020-02-21,76769,75569,1200,0,2239,8
2020-02-22,77794,76392,1402,0,2348,11
2020-02-23,0,0,0,0,2445,0
2020-02-24,79331,77262,2069,0,2595,23
2020-02-25,80239,77780,2459,0,2666,34
2020-02-26,81109,78191,2918,0,2718,44
2020-02-27,82294,78630,3664,0,2747,57
2020-02-28,83652,78961,4691,0,2791,67
2020-02-29,85403,79394,6009,0,2838,86
2020-03-01,87137,79968,7169,0,2873,104
2020-03-02,88948,80174,8774,0,2915,128
2020-03-03,90869,80304,10565,0,2946,166
2020-03-04,93091,80422,12669,0,2984,214
2020-03-05,95324,80565,14759,0,3015,266
2020-03-06,0,0,0,0,3045,0
2020-03-07,101927,80813,21110,0,3073,413
2020-03-08,105586,80859,24727,0,3100,484
2020-03-09,109577,80904,28673,3809,3123,686
2020-03-10,113702,80924,32778,4012,3140,872
2020-03-11,118319,80955,37364,4292,3162,1130
2020-03-12,125260,80981,44279,4613,3173,1440
2020-03-13,132758,80991,51767,4955,3180,1775
2020-03-14,81021,61513,12,5392,3194,2198
2020-03-15,153517,81048,72469,5735,3204,2531
2020-03-16,167515,81077,86438,0,3218,3388
2020-03-17,16786,4910,228,68,42,4
2020-03-18,191127,74760,233,3357,9,68
