date,global,china,outside_china,global_deaths,china_deaths,outside_china_deaths
1/21/2020,282,278,3,0,0,0
1/22/2020,314,309,4,0,0,0
1/23/2020,581,571,10,0,0,0
1/24/2020,846,830,11,0,0,0
1/25/2020,1320,1297,23,0,0,0
1/26/2020,2014,1985,29,0,0,0
1/27/2020,2798,2741,37,80,80,0
1/28/2020,4593,4537,56,106,106,0
1/29/2020,6065,5997,68,132,132,0
1/30/2020,7736,7736,82,170,170,0
1/31/2020,9826,9720,106,213,213,0
2/1/2020,11953,11821,132,259,259,0
2/2/2020,14557,14411,146,304,304,0
2/3/2020,17391,17238,153,361,361,0
2/4/2020,20630,20471,159,425,425,0
2/5/2020,24554,24363,191,491,491,0
2/6/2020,28276,28060,216,564,564,0
2/7/2020,31481,31211,270,637,637,0
2/8/2020,34886,34598,288,723,723,0
2/9/2020,37558,37251,307,812,812,0
2/10/2020,40554,40235,319,909,909,0
2/11/2020,43103,42708,395,1017,1017,0
2/12/2020,45171,44730,441,1114,1114,0
2/13/2020,46997,46550,447,1368,1368,0
2/14/2020,49053,48548,505,1383,1381,2
2/15/2020,50580,50054,526,1526,1524,2
2/16/2020,51857,51174,683,1669,1666,3
2/17/2020,71429,70635,794,1775,1772,3
2/18/2020,73332,72528,804,1873,1870,3
2/19/2020,75204,74280,924,2009,2006,3
2/20/2020,75748,74675,1073,2129,2121,8
2/21/2020,76769,75569,1200,2247,2239,8
2/22/2020,77794,76392,1402,2359,2348,11
2/23/2020,78811,77042,1769,2462,2445,17
2/24/2020,79331,77262,2069,2618,2595,23
2/25/2020,80239,77780,2459,2700,2666,34
2/26/2020,81109,78191,2918,2762,2718,44
2/27/2020,82294,78630,3664,2804,2747,57
2/28/2020,83652,78961,4691,2858,2791,67
2/29/2020,85403,79394,6009,2924,2838,86
3/1/2020,87137,79968,7169,2977,2873,104
3/2/2020,88948,80174,8774,3043,2915,128
3/3/2020,90869,80304,10565,3112,2946,166
3/4/2020,93091,80422,12669,3198,2984,214
3/5/2020,95324,80565,14759,3281,3015,266
3/6/2020,98192,80711,17481,3380,3045,335
3/7/2020,101927,80813,21110,3486,3073,413
3/8/2020,105586,80859,24727,3584,3100,484
3/9/2020,109577,80904,28673,3809,3123,686
3/10/2020,113702,80924,32778,4012,3140,872
3/11/2020,118319,80955,37364,4292,3162,1130
3/12/2020,125260,80981,44279,4613,3173,1440
3/13/2020,132758,80991,51767,4955,3180,1775
3/14/2020,142534,81021,61513,5392,3194,2198
3/15/2020,153517,81048,72469,5735,3204,2531
3/16/2020,167515,81077,86438,6606,3218,3388
3/17/2020,179111,0,0,7426,0,0
3/18/2020,191127,0,0,7807,0,0
3/19/2020,209839,0,0,8778,0,0
3/20/2020,234073,0,0,9840,0,0
3/21/2020,266073,0,0,11183,0,0
3/22/2020,292142,0,0,12783,0,0
3/23/2020,332930,0,0,14509,0,0
3/24/2020,372755,0,0,16231,0,0
3/25/2020,414179,0,0,18440,3287,0
